Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
Arranged - private student accommodation,AECC Global,India,MSc Strategic Digital Marketing,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.2,2023,email_00116,fname_00063,lname_00523
Arranged - private student accommodation,AECC Global,India,MSc Health Psychology,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,24.6,2023,email_00124,fname_00066,lname_00373
Arranged - private student accommodation,SI-UK,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.0,2023,email_00183,fname_00118,lname_00223
Arranged - other,IDP Education,Pakistan,MSc Data Analytics - Full Time,21500.0,0,21500.0,No,No,Pakistani,Passed,3000.0,0.0,missing,27.3,2023,email_00311,fname_00241,lname_00871
Not arranged - considering private rental,Krishna Consultants,India,MSc Future Vehicle Technologies (including Professional Practice) - Full Time,24000.0,0,24000.0,No,No,Indian,Passed,7085.0,0.0,missing,26.4,2023,email_00491,fname_00435,lname_00298
Arranged - private rental,IDP Education,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,Yes (1 child),Yes,Indian,Passed,3000.0,0.0,missing,37.4,2023,email_00239,fname_00972,lname_00337
Not arranged - considering private rental,On Campus (Aston),Mauritania,BSc Business and Management,18250.0,0,18250.0,No,No,Mauritanian,Passed,3000.0,0.0,missing,19.8,2023,email_00053,fname_00005,lname_00329
Arranged - private student accommodation,On Campus (Aston),Burkina Faso,BSc Business and Management,18250.0,0,18250.0,No,No,Burkinabe,Passed,3000.0,0.0,missing,20.3,2023,email_01240,fname_00499,lname_00957
Arranged - private student accommodation,Intake Education (ISC-UKEAS Ho Chi Minh),Vietnam,MSc Strategic Digital Marketing,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,24.3,2023,email_00623,fname_00540,lname_00425
,On Campus (Aston),India,MSc Accounting & Finance,23500.0,0,23500.0,No,No,Indian,Passed,3018.0,0.0,missing,23.9,2023,email_01136,fname_00992,lname_00254
Arranged - private student accommodation,SI-UK,India,MSc Engineering Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.1,2023,email_00110,fname_00055,lname_00218
Arranged - private student accommodation,SI-UK,India,Master of Business Administration,30000.0,0,30000.0,No,Yes,Indian,Passed,3000.0,0.0,missing,28.8,2023,email_00151,fname_00089,lname_00290
Arranged - university accommodation,Study Advisory Services Ltd,Nigeria,MSc Business and Management,23500.0,0,23500.0,No,No,Nigerian,Passed,7750.0,0.0,missing,30.3,2023,email_00685,fname_00583,lname_00320
Arranged - private student accommodation,GeeBee,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,26.6,2023,email_00175,fname_00113,lname_00207
Arranged - private rental,Regal Uno Consulting,Nigeria,MSc Artificial Intelligence - Full Time,23500.0,0,23500.0,No,Yes,Nigerian,Passed,3000.0,0.0,missing,24.9,2023,email_00934,fname_00793,lname_00718
Arranged - private student accommodation,Talib Consultancy (TCL Global),Bangladesh,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Bangladeshi,Passed,3000.0,0.0,missing,28.8,2023,email_01072,fname_00977,lname_00857
Arranged - private rental,Edwise,India,BSc Business and Management,18250.0,0,18250.0,No,No,Indian,Passed,3000.0,0.0,missing,19.2,2023,email_00490,fname_00427,lname_00249
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc Data Analytics (including Professional Practice),24000.0,0,24000.0,No,No,Indian,Passed,3000.0,0.0,missing,25.1,2023,email_00749,fname_00525,lname_00000
Arranged - private rental,IDP Education,Bangladesh,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Bangladeshi,Passed,3000.0,0.0,missing,25.8,2023,email_00703,fname_00598,lname_00513
Arranged - private rental,Edwise,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,16000.0,0.0,missing,26.5,2023,email_01381,fname_00672,lname_00000
Arranged - university accommodation,CRIZAC inc. Gateway & UCOL,India,BSc Business and Management,18250.0,0,18250.0,No,No,Indian,Passed,3005.0,0.0,missing,18.8,2023,email_01327,fname_01145,lname_00246
Arranged - private rental,IDP Education,Saudi Arabia,MSc Sustainable Engineering (including Professional Practice),24000.0,0,24000.0,Yes (3 children),Yes,Saudi Arabian,Passed,0.0,0.0,missing,38.9,2023,email_00374,fname_00937,lname_00915
Arranged - university accommodation,NCUK - UK,Nigeria,BSc Business and Management,18250.0,0,18250.0,No,No,Nigerian,Passed,3000.0,0.0,missing,18.5,2023,email_01245,fname_01067,lname_00340
Arranged - private student accommodation,IDP Education,India,Master of Business Administration,30000.0,0,30000.0,No,No,Indian,Passed,3000.0,0.0,missing,27.3,2023,email_01326,fname_00677,lname_00000
Arranged - university accommodation,UniServ,Kenya,MSc Business Analytics,23500.0,0,23500.0,No,No,Kenyan,Passed,3000.0,0.0,missing,24.2,2023,email_00290,fname_00226,lname_00573
Arranged - other,GeeBee,Afghanistan,MSc Artificial Intelligence (including Professional Practice),26000.0,0,26000.0,No,No,Afghan,Passed,3000.0,0.0,missing,24.5,2023,email_00407,fname_00346,lname_00738
Arranged - university accommodation,IDP Education,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,24.0,2023,email_01110,fname_00961,lname_00900
Arranged - private rental,Santa Monica Overseas Studies & Placements,India,MSc Data Analytics - Full Time,21500.0,0,21500.0,No,Yes,Indian,Passed,3000.0,0.0,missing,28.9,2023,email_00716,fname_00607,lname_00969
Arranged - private student accommodation,IDP Education,India,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,21.9,2023,email_01137,fname_00993,lname_00780
Arranged - private student accommodation,IDP Education,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.9,2023,email_01322,fname_01138,lname_00783
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3018.0,0.0,missing,22.3,2023,email_01242,fname_00631,lname_00959
Arranged - university accommodation,IDP Education,India,MSc Entrepreneurship,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,26.4,2023,email_00059,fname_00017,lname_00860
,Krishna Consultants,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.7,2023,email_00470,fname_00406,lname_00478
Arranged - private student accommodation,IDP Education,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,23.7,2023,email_00759,fname_00505,lname_00597
Arranged - private student accommodation,Leverage Edu,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.0,2023,email_00637,fname_00220,lname_00526
Arranged - university accommodation,IDP Education,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,23.9,2023,email_00248,fname_00885,lname_00000
Arranged - private student accommodation,KC Overseas Education Pvt Ltd,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3100.0,0.0,missing,20.9,2023,email_01091,fname_00947,lname_00847
Arranged - private student accommodation,IDP Education,India,MSc Data Analytics - Full Time,21500.0,0,21500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.6,2023,email_01125,fname_00980,lname_00930
Arranged - private rental,MyArman,Iran; Islamic Republic of,BSc Business and Management,18250.0,0,18250.0,No,No,Iranian,Passed,3000.0,0.0,missing,20.8,2023,email_00128,fname_00070,lname_00010
Arranged - staying with family,Intake Education,Nigeria,MSc International Business,23500.0,0,23500.0,No,No,Nigerian,Passed,3000.0,0.0,missing,40.3,2023,email_00074,fname_00030,lname_00231
,InterGreat Education Group,Saudi Arabia,MSc Human Resource Management,23500.0,0,23500.0,Yes (2 children),Yes,Saudi Arabian,Passed,0.0,0.0,missing,39.9,2023,email_00067,fname_00011,lname_00073
Arranged - private student accommodation,GeeBee,India,MSc Mechanical Engineering,21500.0,0,21500.0,No,No,Indian,Passed,8500.0,0.0,missing,24.8,2023,email_00057,fname_00022,lname_00962
Arranged - staying with family,CRIZAC inc. Gateway & UCOL,Nigeria,MSc Strategic Digital Marketing,23500.0,0,23500.0,No,No,Nigerian,Passed,3000.0,0.0,missing,26.4,2023,email_01118,fname_00969,lname_00336
Arranged - private rental,IAE Edu Net,Vietnam,MSc Strategic Digital Marketing,23500.0,0,23500.0,No,No,Vietnamese,Passed,2000.0,0.0,missing,23.2,2023,email_00306,fname_01127,lname_00285
Arranged - staying with family,Trusted Edge Consult,Nigeria,MSc Business Analytics,23500.0,0,23500.0,No,Yes,Nigerian,Passed,8000.0,0.0,missing,47.8,2023,email_01312,fname_00037,lname_00135
Arranged - other,VISCO,Vietnam,MSc Strategic Marketing Management,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,23.6,2023,email_00622,fname_00539,lname_00669
Arranged - private student accommodation,IDP Education,Nigeria,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,Yes,Nigerian,Passed,7400.0,0.0,missing,31.5,2023,email_01370,fname_00474,lname_00886
,Krishna Consultants,India,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Indian,Passed,3000.0,0.0,missing,25.2,2023,email_00066,fname_00027,lname_01021
Arranged - private student accommodation,HS Consultants Private Limited,Pakistan,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Pakistani,Passed,6300.0,0.0,missing,27.1,2023,email_01151,fname_01004,lname_00513
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc Information Systems & Business Analysis,23500.0,0,23500.0,No,No,Indian,Passed,3700.0,0.0,missing,22.2,2023,email_00960,fname_00839,lname_00780
,SAMS Global,Bangladesh,MSc International Accounting and Finance,23500.0,0,23500.0,Yes (1 child),Yes,Bangladeshi,Passed,3000.0,0.0,missing,41.3,2023,email_01401,fname_00640,lname_00061
Arranged - private rental,Krishna Consultants,India,Master of Business Administration,30000.0,0,30000.0,No,Yes,Indian,Passed,3000.0,0.0,missing,33.8,2023,email_00280,fname_00679,lname_00925
Arranged - private student accommodation,SI-UK,Nepal,MSc Business Analytics,23500.0,0,23500.0,No,No,Nepalese,Passed,3000.0,0.0,missing,31.9,2023,email_00318,fname_00249,lname_00675
Arranged - private student accommodation,IDP Education,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.4,2023,email_01066,fname_01155,lname_00815
Arranged - private student accommodation,Leverage Edu,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,26.6,2023,email_00790,fname_00677,lname_00618
Arranged - university accommodation,Santa Monica Overseas Studies & Placements,India,BSc Business and Management,18250.0,0,18250.0,No,No,Indian,Passed,3000.0,0.0,missing,17.8,2023,email_00863,fname_00747,lname_00000
Arranged - private rental,UniServ,Kenya,MSc Business Analytics,23500.0,0,23500.0,No,No,Kenyan,Passed,3000.0,0.0,missing,26.4,2023,email_01173,fname_01018,lname_00781
Arranged - university accommodation,ISC Education Joint Stock Company,Vietnam,BSc Accounting and Finance,18250.0,0,18250.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,18.7,2023,email_01318,fname_00569,lname_00669
Arranged - private rental,Leverage Edu,India,MSc Data Analytics - Full Time,21500.0,0,21500.0,No,No,Indian,Passed,3000.0,0.0,missing,27.0,2023,email_00830,fname_00058,lname_00940
Arranged - university accommodation,SI-UK,Tanzania; United Republic of,BSc International Business and Management,18250.0,0,18250.0,No,No,Tanzanian,Passed,6000.0,0.0,missing,18.6,2023,email_00602,fname_00526,lname_00588
Arranged - private student accommodation,IDP Education,Bangladesh,MSc International Accounting and Finance,23500.0,0,23500.0,No,No,Bangladeshi,Passed,3000.0,0.0,missing,23.0,2023,email_00995,fname_00871,lname_00453
Arranged - private student accommodation,Intake Education (ISC-UKEAS Ho Chi Minh),Vietnam,MSc Business Analytics,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,24.8,2023,email_01310,fname_00745,lname_00669
Arranged - private student accommodation,Intake Education (ISC-UKEAS Ho Chi Minh),Vietnam,MSc Business Analytics,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,23.5,2023,email_00497,fname_00436,lname_01023
Arranged - private rental,IDP Education,Vietnam,MSc Finance,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,26.1,2023,email_00951,fname_00834,lname_00669
Arranged - private student accommodation,SI-UK,India,MSc Information Systems & Business Analysis,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,30.3,2023,email_01258,fname_01085,lname_00538
Arranged - private student accommodation,EduCo International Group Ltd,India,MSc International Accounting and Finance,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.6,2023,email_01162,fname_00957,lname_00893
Arranged - private rental,IDP Education,United Arab Emirates,BEng Mechanical Engineering.,21100.0,0,21100.0,No,No,Pakistani,Passed,4500.0,0.0,missing,20.5,2023,email_01410,fname_01226,lname_00806
Arranged - private student accommodation,Study Affairs,Nigeria,MSc Business and Management,23500.0,0,23500.0,No,No,Nigerian,Passed,3000.0,0.0,missing,29.0,2023,email_00347,fname_00509,lname_00313
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Engineering Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.2,2023,email_00643,fname_00738,lname_00527
Arranged - private rental,AEC – Abroad Education Consultants,India,MSc Artificial Intelligence (including Professional Practice),26000.0,0,26000.0,No,No,Indian,Passed,3018.0,0.0,missing,21.4,2023,email_00319,fname_00250,lname_00190
Arranged - private student accommodation,NCUK - UK,Myanmar,BSc Business and Management,18250.0,0,18250.0,No,No,Myanmarese,Passed,3000.0,0.0,missing,19.7,2023,email_00288,fname_00219,lname_01013
Arranged - private rental,IDP Education,Bangladesh,MSc Business Analytics,23500.0,0,23500.0,Yes (1 child),Yes,Bangladeshi,Passed,4000.0,0.0,missing,37.6,2023,email_00801,fname_00683,lname_00269
Arranged - private student accommodation,Edwise,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,28.8,2023,email_00953,fname_00855,lname_00528
Arranged - private student accommodation,SI-UK,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,5500.0,0.0,missing,21.6,2023,email_00655,fname_00556,lname_00925
Arranged - university accommodation,UniServ,Kenya,MSc Business and Management,23500.0,0,23500.0,No,No,Kenyan,Passed,3000.0,0.0,missing,27.5,2023,email_01368,fname_01067,lname_01074
,KC Overseas Education Pvt Ltd,India,MSc International Accounting and Finance,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,21.6,2023,email_00867,fname_00750,lname_00599
Arranged - university accommodation,Edwise,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.6,2023,email_00870,fname_00754,lname_00290
Arranged - staying with family,SI-UK,India,BSc Business and Management,18250.0,0,18250.0,No,No,Indian,Passed,5000.0,0.0,missing,18.2,2023,email_00445,fname_00383,lname_00505
Arranged - private student accommodation,IDP Education,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,26.6,2023,email_00653,fname_01177,lname_00535
Arranged - private student accommodation,Education Matters,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,2000.0,0.0,missing,24.8,2023,email_00424,fname_00358,lname_00935
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Computer Science,21500.0,0,21500.0,No,No,Indian,Passed,3000.0,0.0,missing,30.3,2023,email_00621,fname_00605,lname_00513
Arranged - university accommodation,CRIZAC inc. Gateway & UCOL,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,9000.0,0.0,missing,22.4,2023,email_00545,fname_00475,lname_00466
Arranged - university accommodation,IDP Education,United Arab Emirates,MBChB Medicine,45550.0,0,45550.0,No,No,Indian,Passed,10000.0,0.0,missing,18.4,2023,email_01100,fname_00084,lname_00918
Arranged - private rental,Krishna Consultants,India,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Indian,Passed,3000.0,0.0,missing,26.1,2023,email_01030,fname_00900,lname_00822
Arranged - private student accommodation,Krishna Consultants,India,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Indian,Passed,3000.0,0.0,missing,34.9,2023,email_01197,fname_01042,lname_01054
Arranged - private student accommodation,Krishna Consultants,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,8580.0,0.0,missing,22.2,2023,email_00985,fname_00553,lname_00779
Arranged - university accommodation,Leverage Edu,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.2,2023,email_00245,fname_00189,lname_00831
Arranged - private student accommodation,On Campus (Aston),Saudi Arabia,BSc Human Resource and Business Management,18250.0,0,18250.0,No,No,Saudi Arabian,Passed,0.0,0.0,missing,18.6,2023,email_00776,fname_00572,lname_00065
Arranged - private student accommodation,GeeBee,India,MSc Artificial Intelligence with Business Strategy - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.0,2023,email_01341,fname_01157,lname_00253
Arranged - private rental,SI-UK,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.4,2023,email_01070,fname_01046,lname_00917
Arranged - private student accommodation,Leverage Edu,India,MSc Business Psychology,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.2,2023,email_00100,fname_00048,lname_00502
Arranged - other,AECC Global,India,MSc Data Analytics (including Professional Practice),24000.0,0,24000.0,No,No,Indian,Passed,3000.0,0.0,missing,22.7,2023,email_00221,fname_00174,lname_00487
Arranged - university accommodation,Info Edge India,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.9,2023,email_01042,fname_00913,lname_00814
Arranged - private rental,Study Affairs,Nigeria,MSc Engineering Management - Full Time,23500.0,0,23500.0,No,Yes,Nigerian,Passed,3000.0,0.0,missing,43.8,2023,email_01409,fname_00316,lname_00286
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,24.1,2023,email_01237,fname_01060,lname_01022
Arranged - university accommodation,Du Hoc Kingstudy,Vietnam,MSc Business Analytics,23500.0,0,23500.0,No,No,Vietnamese,Passed,3000.0,0.0,missing,23.4,2023,email_00305,fname_00096,lname_00285
Arranged - private student accommodation,Santa Monica Overseas Studies & Placements,India,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.9,2023,email_00763,fname_00657,lname_00000
Arranged - private student accommodation,SI-UK,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.9,2023,email_00165,fname_00104,lname_00255
Arranged - private student accommodation,Santa Monica Overseas Studies & Placements,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.7,2023,email_00172,fname_00110,lname_00846
Arranged - private student accommodation,AECC Global,India,MSc Finance,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.8,2023,email_00845,fname_00739,lname_00089
Arranged - private student accommodation,Krishna Consultants,India,MSc Engineering Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,4000.0,0.0,missing,26.3,2023,email_01388,fname_01200,lname_01096
Arranged - private student accommodation,Leverage Edu,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.0,2023,email_00330,fname_00262,lname_00227
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Civil Infrastructure Engineering - Full Time,21500.0,0,21500.0,No,No,Indian,Passed,3020.0,0.0,missing,24.7,2023,email_00646,fname_00743,lname_00529
Arranged - other,Leverage Edu,India,MSc Strategic Digital Marketing,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,31.0,2023,email_01231,fname_01056,lname_01067
Arranged - university accommodation,IDP Education,India,Master of Business Administration,30000.0,0,30000.0,No,No,Indian,Passed,3000.0,0.0,missing,29.8,2023,email_00936,fname_00813,lname_00186
Arranged - private student accommodation,Santa Monica Overseas Studies & Placements,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.9,2023,email_01301,fname_00917,lname_01012
Arranged - private rental,SI-UK,India,BSc Computer Science,21100.0,0,21100.0,No,No,Indian,Passed,3000.0,0.0,missing,19.8,2023,email_00547,fname_00478,lname_00910
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Strategic Marketing Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,29.2,2023,email_00981,fname_00857,lname_00562
Arranged - private student accommodation,Eduabroad Consulting,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3300.0,0.0,missing,21.4,2023,email_01039,fname_00908,lname_00913
Not arranged - considering private student accommodation,IDP Education,India,MSc Engineering Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.0,2023,email_00887,fname_00768,lname_00630
Arranged - other,New Way Consultancy,Nigeria,MSc Information Systems & Business Analysis,23500.0,0,23500.0,Yes (1 child),Yes,Nigerian,Passed,5975.0,0.0,missing,33.4,2023,email_00476,fname_00061,lname_00053
Arranged - homestay,KC Overseas Education Pvt Ltd,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.0,2023,email_00553,fname_00483,lname_00002
Arranged - staying with family,CRIZAC inc. Gateway & UCOL,India,MSc Civil Infrastructure Engineering (including Professional Practice) - Full Time,24000.0,0,24000.0,No,No,Indian,Passed,13375.0,0.0,missing,22.7,2023,email_01209,fname_00722,lname_00935
Arranged - private student accommodation,SI-UK,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.0,2023,email_01239,fname_01062,lname_01061
Arranged - university accommodation,IDP Education,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,26.3,2023,email_00008,fname_00003,lname_00925
Not arranged - considering private student accommodation,IDP Education,Bangladesh,MSc Applied Artificial Intelligence - Full Time,21500.0,0,21500.0,No,Yes,Bangladeshi,Passed,3000.0,0.0,missing,27.3,2023,email_00026,fname_00132,lname_01004
Not arranged - considering staying with family,UniServ,Uganda,BSc Business and Management,18250.0,0,18250.0,No,No,Ugandan,Passed,3000.0,0.0,missing,20.5,2023,email_00242,fname_00187,lname_00628
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Health Psychology,20700.0,0,20700.0,No,No,Indian,Passed,3022.0,0.0,missing,26.2,2023,email_00473,fname_00410,lname_00196
Arranged - private rental,Jestone Education,Nigeria,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Nigerian,Passed,3000.0,0.0,missing,39.9,2023,email_00115,fname_00624,lname_00055
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3919.0,0.0,missing,22.2,2023,email_00872,fname_00756,lname_01065
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,31.1,2023,email_00992,fname_00051,lname_00393
Arranged - staying with family,Times Consultant,Pakistan,LL.B. Law,18250.0,0,18250.0,No,No,Pakistani,Passed,9000.0,0.0,missing,18.8,2023,email_00810,fname_00692,lname_00070
Arranged - staying with family,Leverage Edu,India,MSc Pharmaceutical Sciences,20700.0,0,20700.0,No,No,Indian,Passed,3000.0,0.0,missing,24.8,2023,email_00837,fname_00734,lname_00000
Arranged - private student accommodation,Krishna Consultants,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3900.0,0.0,missing,22.0,2023,email_00328,fname_00256,lname_00650
Arranged - private student accommodation,IDP Education,India,MSc Business Analytics,23500.0,0,23500.0,No,No,Indian,Passed,3665.0,0.0,missing,22.1,2023,email_00946,fname_01213,lname_00780
Not arranged - considering private student accommodation,SI-UK,India,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Indian,Passed,2500.0,0.0,missing,30.8,2023,email_01309,fname_00878,lname_00290
Arranged - private student accommodation,Leverage Edu,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,21.4,2023,email_00969,fname_00846,lname_01087
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc International Accounting and Finance,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,29.6,2023,email_00679,fname_00580,lname_00896
Arranged - staying with family,Astolinks International,Ghana,MSc Human Resource Management,23500.0,0,23500.0,No,No,Ghanaian,Passed,7000.0,0.0,missing,29.8,2023,email_00617,fname_00503,lname_00712
Arranged - private rental,Santa Monica Overseas Studies & Placements,India,MSc International Business,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,29.3,2023,email_00438,fname_00373,lname_00819
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Indian,Passed,3000.0,0.0,missing,28.3,2023,email_00365,fname_00297,lname_00480
Arranged - private student accommodation,IDP Education,Saudi Arabia,Master of Science for Overseas Pharmacists,22425.0,0,22425.0,Yes (2 children),Yes,Pakistani,Passed,8000.0,0.0,missing,37.5,2023,email_00502,fname_00434,lname_00574
Arranged - private student accommodation,Krishna Consultants,India,Postgraduate Diploma for Overseas Pharmacists,14950.0,0,14950.0,No,No,Indian,Passed,3000.0,0.0,missing,29.1,2023,email_00527,fname_00460,lname_01054
,Leverage Edu,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,25.2,2023,email_00692,fname_00556,lname_00558
,Leverage Edu,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.7,2023,email_01023,fname_01115,lname_00841
Arranged - private student accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,24.4,2023,email_00154,fname_00092,lname_00683
Arranged - private student accommodation,IDP Education,Bangladesh,MSc Supply Chain Management - Full Time,23500.0,0,23500.0,No,No,Bangladeshi,Passed,3000.0,0.0,missing,23.0,2023,email_00823,fname_00720,lname_00934
Arranged - private student accommodation,GeeBee,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,23.3,2023,email_00425,fname_00359,lname_00879
Arranged - university accommodation,CRIZAC inc. Gateway & UCOL,India,MSc Human Resource Management,23500.0,0,23500.0,No,No,Indian,Passed,3000.0,0.0,missing,22.2,2023,email_01104,fname_00954,lname_00302
Arranged - private rental,Intake Education,Ghana,Research Neuroscience Full Time,19050.0,0,19050.0,No,No,Ghanaian,Passed,0.0,0.0,missing,34.0,2023,email_00087,fname_00626,lname_01028
Arranged - private student accommodation,Info Edge India,India,MSc Business and Management,23500.0,0,23500.0,No,No,Indian,Passed,22750.0,0.0,missing,23.4,2023,email_01222,fname_01050,lname_00268
