Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
,GeeBee,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,25.9,2022,email_00365,fname_00341,lname_00295
,SAMS Global,Nigeria,MSc Information Systems & Business Analysis,0.0,0,21250,No,Yes,Nigerian,Failed,2000.0,0.0,missing,32.4,2022,email_00203,fname_00169,lname_00220
,,Nigeria,MSc in International Accounting and Finance,0.0,0,21250,Yes (3 children),Yes,Nigerian,Failed,2000.0,0.0,missing,33.5,2022,email_00379,fname_00370,lname_00227
,IDP Education,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,20250.0,0.0,missing,30.8,2022,email_00252,fname_00189,lname_00308
,Talib Consultancy (TCL Global),Saudi Arabia,MSc Artificial Intelligence - Full Time,20250.0,0,20250,No,No,Saudi Arabian,Passed,0.0,0.0,missing,32.4,2022,email_00420,fname_00316,lname_00021
,,Nigeria,MSc in International Accounting and Finance,21250.0,0,21250,No,No,Nigerian,Failed,2000.0,0.0,missing,33.9,2022,email_00019,fname_00123,lname_00006
,Intake Education,India,MSc in Data Analytics - Full Time,0.0,0,17400,No,No,Indian,Passed,2000.0,0.0,missing,21.6,2022,email_00273,fname_00251,lname_00160
,,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,33.3,2022,email_00369,fname_00187,lname_00242
,IDP Education,India,MSc in Accounting and Finance,21250.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,24.2,2022,email_00409,fname_00393,lname_00061
Not arranged - considering private rental,,Nigeria,Master of Business Administration,28000.0,0,28000,Yes (1 child),Yes,Nigerian,Passed,2000.0,0.0,missing,30.9,2022,email_00000,fname_00002,lname_00235
,AEC – Abroad Education Consultants,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2002.0,0.0,missing,22.7,2022,email_00114,fname_00105,lname_00090
Not arranged - considering private rental,Astolinks International,United Kingdom,MSc in Strategy and International Business,21250.0,0,21250,No,No,Ghanaian,Passed,18000.0,0.0,missing,31.0,2022,email_00173,fname_00166,lname_00046
,,India,MSc in International Accounting and Finance,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,26.6,2022,email_00034,fname_00030,lname_00275
,IDP Education,India,MSc in International Business,0.0,0,21250,No,Yes,Indian,Passed,2000.0,0.0,missing,24.4,2022,email_00212,fname_00192,lname_00000
,Leverage Edu,India,MSc Business Economics and Finance,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,20.7,2022,email_00355,fname_00331,lname_00237
,Jindal Global Business School - OP Jindal Global University,India,MSc in International Business,21250.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,22.1,2022,email_00128,fname_00119,lname_00051
Arranged - private rental,SAMS Global,Bangladesh,MSc Human Resource Management,17000.0,4250,21250,No,No,Bangladeshi,Passed,2000.0,0.0,missing,35.4,2022,email_00295,fname_00213,lname_00260
,On Campus (Aston),Palestine,BSc Marketing,17750.0,0,17750,No,No,Palestinian,Passed,2000.0,0.0,missing,20.9,2022,email_00016,fname_00024,lname_00004
Not arranged - considering private rental,GeeBee,India,MSc Construction Management and Engineering- Full Time,0.0,0,17400,No,No,Indian,Passed,6700.0,0.0,missing,26.5,2022,email_00144,fname_00138,lname_00303
,On Campus (Aston),Pakistan,LLB Law,0.0,0,17750,No,No,Pakistani,Passed,9000.0,0.0,missing,21.7,2022,email_00131,fname_00124,lname_00164
,IDP Education,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,25.2,2022,email_00306,fname_00284,lname_00127
Arranged - private student accommodation,Krishna Consultants,India,MSc Business Economics and Finance,20250.0,1000,21250,No,No,Indian,Passed,20250.0,0.0,missing,32.0,2022,email_00209,fname_00053,lname_00206
Not arranged - considering private rental,Santa Monica Overseas Studies & Placements,India,MSc Artificial Intelligence (including Professional Practice),21750.0,1000,22750,No,No,Indian,Passed,2000.0,0.0,missing,32.3,2022,email_00077,fname_00072,lname_00143
,Leverage Edu,India,MSc Information Systems & Business Analysis,0.0,0,21250,No,No,Indian,Passed,4000.0,0.0,missing,22.1,2022,email_00148,fname_00141,lname_00303
,IDP Education,Pakistan,MSc Engineering Management - Full Time,0.0,0,19150,No,No,Pakistani,Passed,2000.0,0.0,missing,29.8,2022,email_00210,fname_00224,lname_00331
Arranged - private student accommodation,Krishna Consultants,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,8000.0,0.0,missing,24.8,2022,email_00064,fname_00060,lname_00280
,GeeBee,India,BSc International Business and Management,0.0,0,16300,No,No,Indian,Passed,2000.0,0.0,missing,19.3,2022,email_00169,fname_00160,lname_00303
Not arranged - unsure,Krishna Consultants,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,10050.0,0.0,missing,26.9,2022,email_00318,fname_00298,lname_00198
,,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,7000.0,0.0,missing,27.1,2022,email_00225,fname_00234,lname_00248
,On Campus (Aston),Pakistan,BSc Business and Management,0.0,0,17750,No,No,Pakistani,Passed,6000.0,0.0,missing,19.1,2022,email_00151,fname_00145,lname_00133
,SI-UK,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,5000.0,0.0,missing,21.4,2022,email_00382,fname_00358,lname_00245
,GeeBee,India,BSc International Business and Management,0.0,0,17750,No,No,Indian,Passed,2000.0,0.0,missing,19.5,2022,email_00386,fname_00363,lname_00303
,GeeBee,India,BSc International Business and Management,0.0,0,17750,No,No,Indian,Passed,2000.0,0.0,missing,21.1,2022,email_00043,fname_00038,lname_00303
,GeeBee,India,BSc International Business and Management,0.0,0,16300,No,No,Indian,Passed,2000.0,0.0,missing,20.0,2022,email_00364,fname_00188,lname_00303
,IDP Education,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,22.8,2022,email_00285,fname_00259,lname_00292
,,India,MSc in Data Analytics (including Professional Practice),0.0,0,19900,No,No,Indian,Passed,2000.0,0.0,missing,34.5,2022,email_00347,fname_00326,lname_00001
,GeeBee,India,MSc Global Operations and Service Management (Full Time),0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,25.4,2022,email_00250,fname_00235,lname_00211
,IDP Education,India,MSc in Strategic Marketing Management,0.0,0,21250,No,No,Indian,Passed,12000.0,0.0,missing,22.7,2022,email_00168,fname_00159,lname_00080
,M.R. Consultants Pvt. Ltd,Pakistan,BSc Business and Management,0.0,0,16300,No,No,Pakistani,Passed,6000.0,0.0,missing,19.1,2022,email_00424,fname_00402,lname_00069
,,Nigeria,MA International Relations and Global Governance,0.0,0,21250,No,No,Nigerian,Passed,1500.0,0.0,missing,36.7,2022,email_00211,fname_00082,lname_00186
,SI-UK,India,MSc in Data Analytics (including Professional Practice),19900.0,0,19900,No,No,Indian,Passed,8000.0,0.0,missing,28.8,2022,email_00352,fname_00058,lname_00298
,HS Consultants Private Limited,Pakistan,BSc Business and Management,0.0,0,0,No,No,Pakistani,Passed,4000.0,0.0,missing,17.9,2022,email_00397,fname_00374,lname_00133
,Regal Uno Consulting,Nigeria,MSc Human Resource Management,21250.0,0,21250,No,No,Nigerian,Passed,4000.0,0.0,missing,35.9,2022,email_00253,fname_00245,lname_00098
,AEC – Abroad Education Consultants,India,MSc in Data Analytics (including Professional Practice),0.0,0,19900,No,No,Indian,Passed,2018.0,0.0,missing,23.4,2022,email_00080,fname_00307,lname_00262
,Leverage Edu,India,MSc Construction Management and Engineering- Full Time,0.0,0,17400,No,No,Indian,Passed,3982.0,0.0,missing,24.2,2022,email_00145,fname_00138,lname_00000
,Leverage Edu,India,MSc in Pharmaceutical Sciences,0.0,0,19700,No,No,Indian,Passed,4000.0,0.0,missing,28.4,2022,email_00274,fname_00252,lname_00000
,Education Matters,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,27.8,2022,email_00187,fname_00175,lname_00265
,Leverage Edu,India,MSc Strategic Digital Marketing,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,20.6,2022,email_00104,fname_00098,lname_00157
,GeeBee,India,MSc in International Business,0.0,0,21250,No,No,Indian,Failed,2000.0,0.0,missing,26.7,2022,email_00217,fname_00197,lname_00303
,Krishna Consultants,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,25.3,2022,email_00241,fname_00403,lname_00215
,,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2010.0,0.0,missing,34.3,2022,email_00088,fname_00080,lname_00041
,GeeBee,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,23.1,2022,email_00097,fname_00088,lname_00303
,AEC – Abroad Education Consultants,India,MSc in Data Analytics - Full Time,0.0,0,17400,No,Yes,Indian,Passed,2000.0,0.0,missing,29.2,2022,email_00188,fname_00317,lname_00162
,Oberois Education Link,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,10000.0,0.0,missing,27.4,2022,email_00363,fname_00149,lname_00303
,,India,BEng Electrical & Electronic Engineering,0.0,0,0,No,No,Indian,Passed,2000.0,0.0,missing,22.2,2022,email_00191,fname_00102,lname_00175
Arranged - private student accommodation,IDP Education,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,24.0,2022,email_00311,fname_00291,lname_00123
Arranged - private rental,GeeBee,India,MSc Engineering Management - Full Time,0.0,0,19150,No,No,Indian,Passed,2000.0,0.0,missing,25.7,2022,email_00038,fname_00035,lname_00291
Arranged - private rental,SI-UK,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,28.7,2022,email_00161,fname_00146,lname_00022
,AECC Global,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,11810.0,0.0,missing,38.4,2022,email_00166,fname_00160,lname_00162
Arranged - private student accommodation,IDP Education,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,28.9,2022,email_00281,fname_00256,lname_00162
Arranged - private student accommodation,IDP Education,India,MSc Artificial Intelligence with Business Strategy (including Professional Practice),0.0,0,22750,No,No,Indian,Passed,2000.0,0.0,missing,22.5,2022,email_00337,fname_00330,lname_00029
Arranged - private student accommodation,IDP Education,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,20250.0,0.0,missing,22.3,2022,email_00033,fname_00013,lname_00148
Arranged - private student accommodation,,India,MSc Future Vehicle Technologies  - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,28.2,2022,email_00334,fname_00314,lname_00307
